99, 99
11, 11
37, 37
38, 38
38, 38
56, 56
66, 64
44, 98
34, 38
66, 67
88, 58
38, 38
99, 99
45, 25
88, 57
92, 92
61, 65
68, 65
64, 84
44, 46
88, 88
67, 81
96, 76
86, 86
26, 26
62, 12
88, 48
77, 79
94, 94
64, 63
77, 97
82, 22
13, 14
54, 54
62, 32
16, 16
99, 89
65, 81
66, 66
84, 84
92, 92
95, 98
96, 96
99, 99
93, 22
74, 74
22, 99
33, 53
69, 64
84, 84
51, 53
13, 19
27, 23
66, 66
66, 83
81, 82
92, 52
11, 11
55, 56
55, 55
19, 15
67, 63
44, 14
33, 63
29, 29
83, 13
85, 88
32, 32
33, 66
39, 39
54, 54
42, 42
33, 33
55, 95
66, 97
99, 59
28, 21
77, 27
21, 21
46, 44
37, 41
48, 78
59, 53
74, 74
91, 91
45, 45
55, 72
19, 39
11, 16
25, 65
95, 95
48, 28
12, 15
43, 43
81, 81
28, 28
77, 73
37, 87
56, 96
82, 82
33, 93
86, 86
11, 11
75, 75
22, 22
44, 26
54, 54
97, 77
85, 85
11, 11
13, 13
44, 24
77, 78
55, 55
77, 74
33, 33
75, 59
77, 76
99, 39
55, 62
33, 18
48, 98
19, 49
55, 91
57, 52
26, 23
56, 56
22, 71
83, 83
55, 17
28, 28
63, 64
44, 44
11, 11
82, 62
66, 68
12, 12
57, 15
43, 42
41, 42
31, 38
19, 79
57, 59
22, 52
77, 16
66, 66
77, 27
99, 19
56, 56
66, 56
88, 51
53, 53
88, 78
44, 84
66, 66
56, 46
11, 16
79, 74
23, 21
49, 47
98, 99
77, 79
33, 22
43, 43
22, 21
77, 37
77, 57
55, 55
57, 12
88, 28
22, 32
99, 49
94, 94
55, 57
25, 25
33, 44
41, 42
66, 35
44, 44
64, 64
56, 56
75, 75
48, 45
77, 37
58, 55
52, 52
98, 98
29, 19
29, 49
57, 57
52, 52
84, 84
62, 62
66, 66
29, 59
47, 44
95, 91
99, 99
15, 15
69, 46
44, 47
86, 81
34, 64
56, 96
59, 59
11, 18
11, 19
56, 56
77, 76
44, 43
59, 58
54, 54
66, 63
48, 88
24, 24
55, 55
11, 51
34, 44
94, 74
18, 16
49, 29
22, 22
68, 68
22, 28
22, 12
83, 83
33, 38
89, 85
38, 54
54, 54
44, 44
55, 25
88, 87
11, 18
33, 33
25, 93
66, 63
45, 45
88, 28
66, 16
43, 43
48, 47
74, 79
83, 83
33, 39
77, 42
77, 88
12, 43
45, 43
44, 74
88, 88
48, 48
81, 81
99, 89
